documentation-url,end-date,entry-date,geography,geometry,name,organisation,point,reference,start-date,slug
,,2021-01-08,development-policy-area:LPD21T,"MULTIPOLYGON (((-0.750908 51.578483,-0.750795 51.578498,-0.750748 51.578373,-0.750794 51.578261,-0.750641 51.578161,-0.750467 51.577907,-0.750453 51.577836,-0.750374 51.577823,-0.750277 51.577886,-0.749808 51.577611,-0.751147 51.576991,-0.751369 51.576949,-0.751799 51.577134,-0.752007 51.577032,-0.752338 51.577270,-0.752150 51.577366,-0.752358 51.577578,-0.752422 51.577723,-0.752797 51.577900,-0.751870 51.578192,-0.751090 51.578383,-0.750908 51.578483)))",Westhorpe House Westhorpe Park Little Marlow,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21T
,,2021-01-08,development-policy-area:LPD21U,"MULTIPOLYGON (((-0.702408 51.637799,-0.702343 51.637781,-0.702242 51.637683,-0.702825 51.637449,-0.702981 51.637582,-0.702408 51.637799)))",Sunnyside and St Johns House 16-18 St Johns Road High Wycombe,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21U
,,2021-01-08,development-policy-area:LPD21V,"MULTIPOLYGON (((-0.705100 51.660777,-0.702843 51.661222,-0.700415 51.659554,-0.698874 51.660197,-0.695192 51.657638,-0.697513 51.657069,-0.698357 51.657664,-0.699967 51.657191,-0.705100 51.660777)))",Land of Amersham Road incl. Tralee Farm,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21V
,,2021-01-08,development-policy-area:LPD21W,"MULTIPOLYGON (((-0.839339 51.724193,-0.839925 51.723664,-0.840345 51.723346,-0.841917 51.722305,-0.842631 51.721694,-0.843298 51.721069,-0.843429 51.721113,-0.843827 51.721523,-0.843845 51.722844,-0.843870 51.722858,-0.843960 51.723896,-0.844006 51.724150,-0.844360 51.725093,-0.845295 51.726635,-0.845923 51.727433,-0.846445 51.727984,-0.847640 51.728919,-0.848858 51.729688,-0.849658 51.730144,-0.851589 51.731017,-0.854077 51.732038,-0.854647 51.732240,-0.854286 51.732387,-0.853693 51.732745,-0.852351 51.733860,-0.852296 51.733917,-0.852318 51.733931,-0.852166 51.734030,-0.851810 51.734223,-0.851483 51.734354,-0.851063 51.734400,-0.850917 51.734472,-0.851004 51.734544,-0.851009 51.734584,-0.850764 51.734749,-0.848880 51.735666,-0.847601 51.736419,-0.846092 51.737170,-0.845339 51.737453,-0.844467 51.737695,-0.842539 51.738093,-0.840985 51.738500,-0.840297 51.738642,-0.839687 51.738716,-0.839491 51.738778,-0.839360 51.738879,-0.839033 51.739010,-0.836502 51.740276,-0.834190 51.741388,-0.830203 51.739626,-0.831828 51.738230,-0.830283 51.737609,-0.832202 51.735977,-0.831298 51.735437,-0.830790 51.735012,-0.830120 51.734748,-0.830158 51.734750,-0.830244 51.734670,-0.830246 51.734633,-0.830657 51.734152,-0.831358 51.733395,-0.834058 51.730227,-0.834651 51.729601,-0.835134 51.728982,-0.835265 51.728876,-0.836733 51.727101,-0.837501 51.726317,-0.839339 51.724193)))",Princes Risborough Main Expansion Area,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21W
,,2021-01-08,development-policy-area:LPDAW,"MULTIPOLYGON (((-0.745169 51.614841,-0.745415 51.614659,-0.745932 51.614362,-0.746168 51.614357,-0.746926 51.614460,-0.747030 51.614498,-0.747177 51.614635,-0.747277 51.614607,-0.747593 51.614946,-0.747746 51.615163,-0.747450 51.615179,-0.747203 51.615114,-0.747199 51.615091,-0.747015 51.615266,-0.745935 51.615507,-0.745818 51.614979,-0.745468 51.614984,-0.745169 51.614841)))",Daws Hill Employment Area,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPDAW
,,2021-01-08,development-policy-area:LPDPR,"MULTIPOLYGON (((-0.768209 51.634062,-0.768882 51.634133,-0.768794 51.634473,-0.771617 51.634744,-0.771564 51.634947,-0.772106 51.635001,-0.771826 51.636067,-0.771606 51.636032,-0.771472 51.636057,-0.771349 51.636263,-0.771289 51.636244,-0.771183 51.636375,-0.769651 51.635909,-0.769502 51.636120,-0.769191 51.636034,-0.769021 51.636225,-0.768032 51.635927,-0.768351 51.635535,-0.767960 51.635447,-0.768046 51.635334,-0.766396 51.635126,-0.765870 51.635006,-0.766723 51.634457,-0.767120 51.634694,-0.767353 51.634456,-0.767415 51.634481,-0.767503 51.634394,-0.767837 51.634437,-0.767856 51.634378,-0.767909 51.634383,-0.767956 51.634197,-0.768026 51.634204,-0.768065 51.634047,-0.768209 51.634062)))",Desborough Park Road,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPDPR
,,2021-01-08,development-policy-area:LPEM10,"MULTIPOLYGON (((-0.915863 51.659983,-0.915902 51.659921,-0.916055 51.659955,-0.917288 51.659669,-0.917419 51.659716,-0.917734 51.660171,-0.918020 51.660442,-0.918211 51.660796,-0.918496 51.661107,-0.918611 51.661324,-0.918902 51.661605,-0.918694 51.661780,-0.917088 51.661381,-0.915629 51.660948,-0.915640 51.660459,-0.915863 51.659983)))",Land rear of Stokenchurch Business Centre,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEM10
,,2021-01-08,development-policy-area:LPEM15,"MULTIPOLYGON (((-0.802934 51.609997,-0.802720 51.609981,-0.802627 51.610664,-0.802054 51.610647,-0.801819 51.613734,-0.800720 51.613739,-0.799920 51.613321,-0.799267 51.613054,-0.798538 51.612685,-0.797533 51.612264,-0.796845 51.612027,-0.797805 51.611594,-0.798264 51.611253,-0.798390 51.611248,-0.798500 51.611295,-0.798581 51.611397,-0.799043 51.612404,-0.799148 51.612720,-0.799750 51.612691,-0.799694 51.612439,-0.799851 51.611584,-0.798747 51.611525,-0.798680 51.611087,-0.798700 51.610880,-0.799262 51.609283,-0.799145 51.609267,-0.799297 51.609066,-0.799493 51.608623,-0.803333 51.608871,-0.803692 51.607278,-0.803809 51.607322,-0.803896 51.607265,-0.804316 51.607237,-0.804370 51.607191,-0.804733 51.606376,-0.804153 51.606166,-0.804384 51.605982,-0.805354 51.604859,-0.805615 51.604649,-0.806179 51.604721,-0.807631 51.605606,-0.808671 51.606100,-0.810754 51.606875,-0.812417 51.607319,-0.803192 51.609488,-0.803005 51.609499,-0.802934 51.609997)),((-0.798743 51.611525,-0.798747 51.611525,-0.798744 51.611526,-0.798743 51.611525)))",Wycombe Air Park,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEM15
,,2021-01-08,development-policy-area:LPEM17,"MULTIPOLYGON (((-0.773451 51.626446,-0.770237 51.626400,-0.770134 51.625659,-0.770051 51.625292,-0.770440 51.623486,-0.766919 51.621869,-0.767196 51.621204,-0.767461 51.621210,-0.768310 51.619909,-0.768403 51.619781,-0.768495 51.619813,-0.768800 51.619356,-0.768558 51.619147,-0.768482 51.618991,-0.768901 51.618544,-0.771363 51.619353,-0.772130 51.619070,-0.772078 51.619585,-0.773348 51.619816,-0.773757 51.619824,-0.774030 51.619761,-0.774702 51.619698,-0.774889 51.617940,-0.774845 51.617939,-0.775008 51.616853,-0.778389 51.616905,-0.782156 51.617103,-0.783284 51.620432,-0.783601 51.620395,-0.783703 51.620741,-0.782899 51.620848,-0.782077 51.621363,-0.781599 51.621847,-0.781149 51.622452,-0.781057 51.622613,-0.781044 51.622824,-0.779494 51.622978,-0.779195 51.622978,-0.778446 51.622870,-0.777857 51.622984,-0.777857 51.622669,-0.776227 51.622863,-0.774948 51.622426,-0.774061 51.622786,-0.774033 51.623033,-0.773943 51.623661,-0.773854 51.624360,-0.773841 51.624471,-0.773855 51.624359,-0.774483 51.624418,-0.773451 51.626446)))",Cressex Business Park,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEM17
,,2021-01-08,development-policy-area:LPEM7,"MULTIPOLYGON (((-0.760664 51.570699,-0.762775 51.570970,-0.762799 51.570904,-0.764094 51.570873,-0.764610 51.570895,-0.765188 51.570965,-0.765206 51.570751,-0.766137 51.570761,-0.766643 51.570825,-0.767128 51.570670,-0.767241 51.570803,-0.767288 51.570790,-0.767519 51.571052,-0.767336 51.571110,-0.767453 51.571226,-0.768584 51.571385,-0.768615 51.571529,-0.768557 51.571729,-0.768052 51.571956,-0.767871 51.571794,-0.767816 51.571818,-0.767671 51.571673,-0.767632 51.571668,-0.767040 51.571929,-0.767334 51.572268,-0.765639 51.572993,-0.765534 51.572992,-0.765070 51.572552,-0.763146 51.573332,-0.763111 51.573300,-0.762027 51.573603,-0.762296 51.573953,-0.762215 51.574027,-0.759067 51.574890,-0.759171 51.575037,-0.759120 51.575053,-0.757157 51.575394,-0.756835 51.575407,-0.757443 51.574075,-0.757851 51.573331,-0.757591 51.573271,-0.758896 51.571221,-0.759056 51.570907,-0.759320 51.570497,-0.760664 51.570699)))",Globe Park,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEM7
,,2021-01-08,development-policy-area:LPEMB,"MULTIPOLYGON (((-0.705725 51.575323,-0.705673 51.575470,-0.705660 51.575763,-0.705687 51.575774,-0.705646 51.575878,-0.705990 51.576040,-0.706042 51.576224,-0.705996 51.576518,-0.705849 51.576829,-0.705916 51.576887,-0.705536 51.577849,-0.704401 51.577863,-0.703642 51.577943,-0.703419 51.577089,-0.703432 51.576807,-0.703647 51.576497,-0.703602 51.576480,-0.704638 51.575161,-0.705725 51.575323)))",Millboard Road,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEMB
,,2021-01-08,development-policy-area:LPEMC,"MULTIPOLYGON (((-0.709937 51.578266,-0.709777 51.577867,-0.708663 51.578232,-0.706546 51.578144,-0.706437 51.578040,-0.706509 51.577976,-0.706627 51.578026,-0.708991 51.576941,-0.709019 51.576933,-0.709237 51.577344,-0.709470 51.577263,-0.709334 51.577041,-0.709386 51.577003,-0.709459 51.576982,-0.709499 51.577046,-0.710095 51.576913,-0.710205 51.577217,-0.710008 51.577281,-0.710362 51.578186,-0.709937 51.578266)))",Cores End Road,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEMC
,,2021-01-08,development-policy-area:LPEMG,"MULTIPOLYGON (((-0.682308 51.597604,-0.682634 51.597483,-0.682692 51.597539,-0.684503 51.596806,-0.684623 51.596812,-0.684861 51.597037,-0.686000 51.596574,-0.686118 51.596672,-0.685865 51.596876,-0.685686 51.597154,-0.685523 51.597322,-0.685637 51.597460,-0.685884 51.597492,-0.686035 51.597612,-0.686294 51.598757,-0.686304 51.598920,-0.686230 51.599032,-0.686082 51.599138,-0.684792 51.599643,-0.684996 51.599380,-0.685135 51.599113,-0.685166 51.598956,-0.685125 51.598726,-0.684726 51.598749,-0.684614 51.598561,-0.684209 51.598748,-0.684188 51.598730,-0.684049 51.598786,-0.683712 51.598963,-0.683406 51.598623,-0.683040 51.598460,-0.682308 51.597604)))",Glory Park,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEMG
,,2021-01-08,development-policy-area:LPEMH,"MULTIPOLYGON (((-0.914281 51.658838,-0.914565 51.658512,-0.915129 51.658071,-0.916143 51.658710,-0.916631 51.658356,-0.916725 51.658496,-0.916914 51.658970,-0.917288 51.659669,-0.916707 51.659802,-0.915474 51.659118,-0.915187 51.659330,-0.914281 51.658838)))",The Heights Stokenchurch,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEMH
